"Martin",-6.91595358105732
"Hyde",-6.831445245451424
"Edgecombe",-6.382404776462971
"Washington",-5.297675435400423
"Northampton",-4.731504120257177
"Lenoir",-4.137607296137339
"Halifax",-3.778978560223113
"Jones",-0.8958674501493112
"Warren",-0.6459042659723613
"Pamlico",-0.6262563785371887
"Caswell",-0.03404110463384537
"Anson",0.2611275964391691
"Columbus",0.2739776068969296
"Graham",0.5880145126986114
"Rockingham",0.685318945261509
"Richmond",0.7065544197233915
"Vance",0.7985286585649765
"Bladen",0.9263275295867154
"Burke",1.0218961726567057
"Bertie",1.2441207707479898
"Rutherford",1.7011399227332709
"Wayne",1.7656557456608637
"Chowan",1.9344623433842765
"Mitchell",2.0909032957225726
"Tyrrell",2.2897083634610746
"Wilkes",2.7395173086299365
"Montgomery",2.7962120647229884
"Surry",2.881253598056698
"Scotland",2.9473859658869936
"Cleveland",3.2641997362053035
"Beaufort",4.433026380177054
"Stokes",4.687884413231643
"Hertford",4.7387283748506706
"Stanly",4.805507745266781
"Caldwell",4.863398566169347
"Alleghany",5.310480472042708
"Avery",5.32999359235743
"Yadkin",5.65918344888302
"Polk",6.063086662300807
"McDowell",6.393679865246376
"Yancey",6.565770226173062
"Transylvania",6.79416376900525
"Madison",6.926406926406926
"Cumberland",6.998874450015348
"Robeson",7.096700962388216
"Person",7.107767453611431
"Haywood",7.197453408102455
"Swain",7.202344231955584
"Wilson",7.334651963042241
"Carteret",8.60684034151188
"Sampson",8.896128721264606
"Rowan",8.9558078870646
"Craven",9.161599370051183
"Nash",9.278197208876687
"Watauga",9.328961236678769
"Davidson",9.468508482403596
"Randolph",10.004292700875403
"Ashe",10.158300524934383
"Gaston",10.564967299661177
"Duplin",10.853392576890936
"Orange",11.2385495698952
"Alexander",11.674552867303515
"Greene",12.422262042795404
"Catawba",12.736704661749657
"Cherokee",13.412626553625811
"Dare",13.481496312610538
"Buncombe",13.928657975088452
"Jackson",14.767066211768967
"Alamance",14.950305810397554
"Onslow",14.951947058627916
"Guilford",15.327231099542097
"Forsyth",15.444984268150439
"Macon",15.611686961188823
"Perquimans",15.631597466572837
"Gates",15.633320654241157
"Moore",17.932565635490644
"Henderson",19.91522097495879
"Davie",20.961676474809817
"Pitt",21.3052511995695
"Durham",21.326025238005677
"Pasquotank",21.623635269507407
"Granville",22.077199059755042
"Lee",22.426590538336054
"Lincoln",22.475697710881153
"Clay",23.68091168091168
"New Hanover",24.336429475943035
"Harnett",26.92776709695139
"Franklin",28.633093525179852
"Chatham",30.26009041334712
"Pender",32.77347743537315
"Iredell",32.946355780205444
"Mecklenburg",34.870602512890855
"Currituck",36.50357339197361
"Cabarrus",36.81206747899865
"Hoke",37.50520121262557
"Johnston",43.01315951297504
"Wake",47.66997002449646
"Camden",49.61510530137981
"Brunswick",54.81317419301915
"Union",67.83395457522417
